Tempo(s),Canal0(V),Canal2(V),Canal3(V),Label
147.50293803215027,2.0035,3.326,1.9635,2
147.57359385490415,2.08375,3.20575,1.9235,2
147.6439130306244,2.08375,3.24575,1.88325,2
147.7145709991455,2.16375,3.28575,1.9235,2
147.7851574420929,2.12375,2.88525,1.9235,2
147.85740900039673,2.0035,2.96525,1.84325,2
147.92772889137268,2.0035,2.4442500000000003,1.76325,2
147.99830293655396,2.0035,2.5645,1.84325,2
148.0688600540161,1.9235,2.72475,1.80325,2
148.13965487480164,2.04375,3.44625,1.88325,2
148.2104504108429,2.0035,3.20575,1.76325,2
148.2810447216034,2.244,3.1255,1.9235,2
148.35186743736267,2.0035,3.0455,1.88325,2
148.425439119339,1.9235,2.805,1.9235,2
148.52237963676453,2.16375,2.88525,2.08375,2
148.59424448013306,1.9635,2.64475,1.9235,2
148.66862177848816,2.244,3.366,2.16375,2
148.74011707305908,2.32425,3.1255,2.0035,2
148.81081557273865,2.08375,3.1255,1.80325,2
148.88180875778198,2.16375,2.88525,2.0035,2
148.9541928768158,2.08375,3.16575,2.0035,2
149.02486991882324,2.08375,3.0455,1.9235,2
149.09557151794434,2.244,2.96525,1.84325,2
149.16644167900083,2.244,3.20575,2.0035,2
149.23692512512207,2.04375,3.84675,1.84325,2
149.30769968032837,1.84325,3.44625,1.84325,2
149.37841963768005,2.08375,3.76675,1.9235,2
149.44938611984253,1.9235,3.20575,1.9235,2
149.52007722854614,2.0035,3.0455,1.80325,2
149.59295845031738,1.9235,3.00525,1.84325,2
149.6644628047943,2.0035,2.92525,1.88325,2
149.73548984527588,2.0035,2.88525,1.88325,2
149.80647540092468,2.16375,3.20575,1.88325,2
149.87721276283264,2.2840000000000003,3.28575,2.0035,2
149.94811701774597,1.9235,3.0455,1.88325,2
150.01978754997253,2.0035,2.60475,1.84325,0
150.09117031097412,2.08375,2.88525,1.9235,0
150.16213989257812,1.9235,2.08375,1.76325,0
150.23324608802795,1.80325,1.9235,1.76325,0
150.30392742156982,1.76325,1.76325,1.76325,0
150.37507224082947,1.80325,1.643,1.76325,0
150.44602990150452,1.84325,1.60275,1.723,0
150.5169928073883,1.80325,1.60275,1.76325,0
150.58797430992126,1.76325,1.643,1.723,0
150.65902018547058,1.723,1.60275,1.683,0
150.73009610176086,1.84325,1.52275,1.60275,0
150.80119061470032,1.683,1.52275,1.643,0
150.87215209007263,1.723,1.60275,1.60275,0
150.94321489334106,1.723,1.60275,1.60275,0
151.0158417224884,1.76325,1.52275,1.56275,0
151.0868148803711,1.683,1.60275,1.60275,0
151.15794825553894,1.723,1.52275,1.643,0
151.2286674976349,1.76325,1.52275,1.52275,0
151.29973554611206,1.76325,1.56275,1.683,0
151.37084484100342,1.723,1.60275,1.60275,0
151.4419014453888,1.80325,1.52275,1.60275,0
151.51259922981262,1.84325,1.60275,1.60275,0
151.58371996879578,1.76325,1.60275,1.643,0
151.65466213226318,1.723,1.56275,1.60275,0
151.72745442390442,1.76325,1.52275,1.60275,0
151.7987983226776,1.76325,1.60275,1.60275,0
151.87008118629456,1.683,1.52275,1.60275,0
151.94117617607117,1.76325,1.60275,1.683,0
152.01202726364136,1.76325,1.60275,1.60275,0
152.08471202850342,1.723,1.56275,1.60275,0
152.1557867527008,1.76325,1.56275,1.643,0
152.22681164741516,1.76325,1.60275,1.683,0
152.2978777885437,1.76325,1.56275,1.56275,0
152.3689329624176,1.683,1.56275,1.643,0
152.43995928764343,1.76325,1.60275,1.683,0
152.51100516319275,1.723,1.60275,1.643,0
152.58218240737915,1.76325,1.52275,1.60275,0
152.65314936637878,1.683,1.60275,1.683,0
152.72424983978271,1.76325,1.52275,1.643,0
152.7953462600708,1.76325,1.60275,1.60275,0
152.86657738685608,1.723,1.56275,1.643,0
152.93750524520874,1.60275,1.60275,1.683,0
153.00864434242249,1.723,1.56275,1.643,0
153.07954597473145,1.683,1.56275,1.60275,0
153.1523311138153,1.683,1.60275,1.683,0
153.22352576255798,1.683,1.60275,1.60275,0
153.29454493522644,1.683,1.60275,1.60275,0
153.3656895160675,1.76325,1.60275,1.683,0
153.43665385246277,1.683,1.60275,1.60275,0
153.5079185962677,1.76325,1.60275,1.60275,0
153.57892274856567,1.76325,1.60275,1.60275,0
153.65018486976624,1.723,1.52275,1.60275,0
153.72140073776245,1.683,1.60275,1.643,0
153.7925968170166,1.723,1.60275,1.60275,0
153.86373209953308,1.76325,1.60275,1.56275,0
153.9349422454834,1.723,1.52275,1.643,0
154.00631618499756,1.76325,1.60275,1.683,0
154.0772397518158,1.76325,1.52275,1.60275,0
154.1500747203827,1.76325,1.52275,1.60275,0
154.2209129333496,1.683,1.60275,1.683,0
154.29192686080933,1.76325,1.60275,1.643,0
154.36282777786255,1.76325,1.60275,1.60275,0
154.43410277366638,1.723,1.60275,1.683,0
154.50516319274902,1.683,1.60275,1.643,0
154.57627725601196,1.723,1.52275,1.643,0
154.64735460281372,1.84325,1.60275,1.60275,0
154.72044396400452,1.683,1.60275,1.60275,0
154.79183769226074,1.723,1.56275,1.643,0
154.86302495002747,1.84325,1.60275,1.60275,0
154.93438982963562,1.76325,1.52275,1.683,0
155.00560235977173,1.683,1.60275,1.60275,1
155.07662868499756,1.76325,1.60275,1.683,1
155.14774203300476,1.84325,1.60275,1.60275,1
155.21953082084656,1.723,1.52275,1.60275,1
155.29077982902527,1.76325,1.52275,1.683,1
155.3619086742401,1.76325,1.9235,1.723,1
155.43312048912048,2.4442500000000003,1.9235,2.08375,1
155.50407242774963,3.20575,3.20575,3.0455,1
155.5753574371338,2.88525,2.96525,2.805,1
155.64641308784485,2.96525,2.845,2.765,1
155.71783185005188,3.0455,2.2840000000000003,2.32425,1
155.7889006137848,2.805,2.40425,2.5645,1
155.86000728607178,2.40425,2.40425,2.64475,1
155.93117356300354,2.40425,2.244,2.805,1
156.00250458717346,2.4442500000000003,2.4845,2.5645,1
156.07379913330078,2.64475,2.2840000000000003,2.40425,1
156.14470672607422,2.4845,2.244,2.04375,1
156.21585750579834,2.72475,2.08375,2.0035,1
156.28919887542725,2.32425,2.244,1.9235,1
156.360365152359,2.2840000000000003,2.12375,1.76325,1
156.4316487312317,2.4845,2.04375,1.88325,1
156.50289344787598,2.08375,1.9235,2.0035,1
156.57422375679016,1.9635,2.0035,1.84325,1
156.64530181884766,2.244,2.16375,1.80325,1
156.7165777683258,2.32425,1.76325,1.683,1
156.78777313232422,2.08375,1.76325,1.60275,1
156.85923433303833,2.204,1.76325,1.84325,1
156.93042731285095,2.16375,1.9235,2.04375,1
157.00185465812683,2.36425,1.80325,1.88325,1
157.07309675216675,2.0035,1.84325,1.723,1
157.14420700073242,1.9235,1.80325,1.643,1
157.2154221534729,2.0035,1.683,1.52275,1
157.2885193824768,1.9235,1.76325,1.643,1
157.35975050926208,1.9635,1.80325,1.4425,1
157.43078064918518,1.84325,1.683,1.60275,1
157.5021288394928,2.08375,1.88325,1.9635,1
